date,n_stocks,n_top,n_bottom,top_avg_realized_return,all_avg_realized_return,bottom_avg_realized_return,top_minus_all,all_minus_bottom,top_minus_bottom,top_gt_all,bottom_lt_all,top_gt_bottom
2025-01-31,93,18,18,0.010361112030951719,0.007464659223213297,0.0013000727128254458,0.002896452807738422,0.0061645865103878515,0.009061039318126273,1.0,1.0,1.0
2025-02-28,93,18,18,-0.04313441863457711,-0.03238264198687845,-0.040918153716442335,-0.010751776647698656,0.008535511729563884,-0.002216264918134772,0.0,1.0,0.0
2025-03-31,92,18,18,0.04006182825297491,0.023078523358766197,0.026556801979407914,0.016983304894208715,-0.0034782786206417164,0.013505026273566999,1.0,0.0,1.0
2025-04-30,92,18,18,0.1160139935903634,0.05700199991802513,0.04470804631368934,0.059011993672338274,0.012293953604335793,0.07130594727667407,1.0,1.0,1.0
2025-05-31,93,18,18,0.03612946646683449,0.014996840700512023,0.01299481874823719,0.021132625766322466,0.0020020219522748333,0.023134647718597297,1.0,1.0,1.0
2025-06-30,94,18,18,0.03426467722382856,0.02073377715606135,0.025640894619113678,0.01353090006776721,-0.004907117463052328,0.008623782604714882,1.0,0.0,1.0
2025-07-31,94,18,18,0.025350737341025605,-0.002252414971261099,-0.0005992329811003892,0.027603152312286702,-0.0016531819901607096,0.025949970322125995,1.0,0.0,1.0
2025-08-31,94,18,18,0.0635337761123248,0.02989829045210979,0.021351720869878747,0.033635485660215014,0.008546569582231045,0.04218205524244606,1.0,1.0,1.0
2025-09-30,94,18,18,0.01308541708081503,0.03047668761445391,0.030761825318947986,-0.01739127053363888,-0.00028513770449407547,-0.017676408238132955,0.0,0.0,0.0
2025-10-31,94,18,18,-0.014117180218235104,-0.00937474993225016,-0.03601087506005761,-0.004742430285984943,0.02663612512780745,0.021893694841822506,0.0,1.0,1.0
2025-11-30,91,18,18,0.041309503560297375,0.022418505095901535,0.030792934835062735,0.01889099846439584,-0.0083744297391612,0.01051656872523464,1.0,0.0,1.0
