date,n_stocks,mae,rmse,directional_accuracy,spearman,topk_hit_rate,avg_rank_error,mean_pred_return,mean_actual_return
2025-01-31,93,0.05008357895345002,0.06928838727915586,0.46236559139784944,-0.03395975858983513,0.2105263157894737,31.35483870967742,0.005080654870758465,0.007464663323042287
2025-02-28,93,0.07117406384835001,0.09437429248986014,0.27956989247311825,-0.05719017636000119,0.2631578947368421,30.301075268817204,0.00525216445759155,-0.03238265194635766
2025-03-31,92,0.06229605705947589,0.07506939318290394,0.5978260869565217,-0.10759366860348628,0.3157894736842105,32.54347826086956,0.007129560938591144,0.023078528417450443
2025-04-30,92,0.06205072346350993,0.08317626335776022,0.7717391304347826,0.4736371622767135,0.42105263157894735,20.717391304347824,0.008195687327760793,0.05700200194184748
2025-05-31,93,0.04236470999127949,0.05975594883294906,0.5376344086021505,0.07077579582868188,0.47368421052631576,29.698924731182796,0.0055304103244519275,0.014928955788553185
2025-06-30,94,0.05831909635809095,0.0722768495300723,0.6702127659574468,-0.007817100087108356,0.4210526315789474,31.23404255319149,0.0056691073089033305,0.020733775415302264
2025-07-31,94,0.0449957319102937,0.062215370848686065,0.43617021276595747,0.0850853237411487,0.4210526315789474,30.80851063829787,0.005699616660235995,-0.002252409670019275
2025-08-31,94,0.05831657791362605,0.08407559251041336,0.6595744680851063,0.16817723705683996,0.4736842105263158,27.148936170212767,0.005904061535859553,0.029898289942972302
2025-09-30,94,0.05358309661801783,0.06519792234412748,0.723404255319149,-0.170101472836631,0.3157894736842105,34.297872340425535,0.006214171918284381,0.030476688641881293
2025-10-31,94,0.061212402403947354,0.08159628790117054,0.425531914893617,-0.042844808669988584,0.3684210526315789,32.765957446808514,0.006368931428778991,-0.009374747657169879
2025-11-30,91,0.03777835176077115,0.0555927927906778,0.6373626373626373,0.17671814842176914,0.3684210526315789,25.36263736263736,0.007059398403977624,0.022418501843116275
