date,ticker,y_next_1m,pred_return,pred_rank,actual_rank,rank_error,pred_topk,actual_topk,topk_hit,pred_minus_actual
2025-02-28,BRBY.L,-0.2893186116086845,0.0162451867580694,2,93,91,True,False,False,0.3055637983667539
2025-10-31,III.L,-0.2821919547498797,0.0045804150403379,59,94,35,False,False,False,0.2867723697902176
2025-02-28,MRO.L,-0.2587581419481854,0.0042624712420952,68,92,24,False,False,False,0.26302061319028064
2025-02-28,ENT.L,-0.2259807068170503,0.0136198792769882,3,91,88,True,False,False,0.2396005860940385
2025-03-31,BNZL.L,-0.2076871361918292,0.0061360831526078,31,92,61,False,False,False,0.21382321934443702
2025-06-30,CTEC.L,-0.1907073732109317,0.0042815591107937,53,94,41,False,False,False,0.1949889323217254
2025-10-31,RMV.L,-0.1787425515180575,0.0089271367822617,11,92,81,True,False,False,0.18766968830031922
2025-10-31,AUTO.L,-0.1811891613192272,0.004721052299411,43,93,50,False,False,False,0.1859102136186382
2025-06-30,BTRW.L,-0.1794252809758802,0.0040810142409055,67,93,26,False,False,False,0.18350629521678571
2025-10-31,JD.L,-0.1708520939773069,0.0110053752904712,9,91,82,True,False,False,0.18185746926777813
2025-09-30,MNDI.L,-0.1697265277131024,0.0070693905230329,20,94,74,False,False,False,0.1767959182361353
2025-02-28,IHG.L,-0.1688154481776188,0.0051088459612848,24,90,66,False,False,False,0.1739242941389036
2025-10-31,HIK.L,-0.1549755333208803,0.0050989383217116,23,90,67,False,False,False,0.1600744716425919
2025-02-28,JD.L,-0.1301563084661187,0.025183803209178,1,85,84,True,False,False,0.1553401116752967
2025-02-28,SPX.L,-0.1505154550583712,0.002660415607985,89,89,0,False,False,False,0.15317587066635618
2025-07-31,ENT.L,-0.1408053194130734,0.0121808054339796,7,94,87,True,False,False,0.15298612484705298
2025-02-28,DPLM.L,-0.1445729858190538,0.0043174719578459,65,88,23,False,False,False,0.14889045777689972
2025-10-31,WTB.L,-0.1404901622367965,0.0077740264006821,13,88,75,True,False,False,0.1482641886374786
2025-02-28,ICG.L,-0.1437336411512779,0.0042930858127423,66,87,21,False,False,False,0.1480267269640202
2025-10-31,BEZ.L,-0.1429338838691799,0.0047201254471996,44,89,45,False,False,False,0.1476540093163795
2025-01-31,JD.L,-0.1241023475545886,0.0231803321827817,1,93,92,True,False,False,0.1472826797373703
2025-02-28,PCT.L,-0.1417910447761196,0.0015459792067357,92,86,6,False,False,False,0.14333702398285528
2025-06-30,MNDI.L,-0.1361917143254539,0.0046222949760168,34,92,58,False,False,False,0.1408140093014707
2025-03-31,SHEL.L,-0.1361063255668463,0.0035596412928648,86,91,5,False,False,False,0.13966596685971108
2025-09-30,ICG.L,-0.1325247607727405,0.0042268343247273,81,93,12,False,False,False,0.13675159509746782
