ticker,n_months,mean_pred_return,mean_actual_return,mae,rmse,directional_accuracy,pred_actual_corr,avg_pred_rank,avg_actual_rank,avg_rank_error,topk_hits,pred_topk_count,actual_topk_count
AAF.L,11,0.011097492598136484,0.08681635525801945,0.07901320677812272,0.09262074523922283,0.9090909090909091,0.4826275685810593,16.09090909090909,20.818181818181817,12.909090909090908,6,8,7
BARC.L,10,0.00691427561826273,0.03487684743219117,0.05148773887707927,0.05770953178517838,0.8,0.40956831720790227,21.7,34.9,15.0,3,5,3
DPLM.L,11,0.006207886413727709,0.01795206041137879,0.05626857842349987,0.07869796988544059,0.5454545454545454,0.44108179266668257,39.18181818181818,45.0,16.0,1,2,3
BBOX.L,11,0.004331957000768291,0.004252139187481571,0.02409526141946119,0.028741751682792725,0.6363636363636364,0.13439547474842845,62.18181818181818,49.45454545454545,16.181818181818183,0,0,0
FRES.L,11,0.01817774253058425,0.1626358996363609,0.1686956625135326,0.191429755474755,0.8181818181818182,0.05641094859981761,6.7272727272727275,19.363636363636363,16.454545454545453,8,10,8
CPG.L,11,0.004648921378089618,-0.013185137845943072,0.03730692049918594,0.04731406630806649,0.2727272727272727,0.2517565839149631,53.27272727272727,61.36363636363637,17.90909090909091,0,0,1
HWDN.L,11,0.0046038362101896635,0.003516094106758337,0.041572430239880206,0.052926155103047545,0.45454545454545453,0.7206656395036101,61.0,55.0,18.0,0,0,1
STAN.L,11,0.008281187932907655,0.05048896891154429,0.0737192803069074,0.08415388311074656,0.8181818181818182,-0.0073804445496229824,15.727272727272727,29.818181818181817,19.181818181818183,4,8,5
IMB.L,6,0.004424185650021867,0.014916351013966983,0.03560205929350415,0.03965143639599682,0.6666666666666666,0.3320256129524075,59.833333333333336,48.833333333333336,20.0,0,0,2
SVT.L,11,0.0043488654481734276,0.0104202022466935,0.028647269426351218,0.04076031354157704,0.5454545454545454,0.010195179873156655,60.63636363636363,49.18181818181818,20.0,0,0,1
ALW.L,11,0.004619291874007991,-0.0025045276460758507,0.029575863035023423,0.03721142744818616,0.5454545454545454,0.21531170078266412,68.54545454545455,55.27272727272727,20.545454545454547,0,0,0
ITRK.L,11,0.004783466854610219,-0.007681669465564391,0.038788343318127104,0.0500730181751161,0.5454545454545454,0.33553214661699293,58.0,56.63636363636363,20.818181818181817,0,0,0
ULVR.L,11,0.003638417565144927,-0.001118365761490936,0.031153463824087405,0.03698424175719073,0.2727272727272727,-0.2572558058436364,64.18181818181819,54.90909090909091,21.272727272727273,0,0,2
LMP.L,11,0.004251272910627072,0.0021027488355063505,0.026812267921266574,0.03309757564451541,0.5454545454545454,-0.2615225097978121,64.0909090909091,52.27272727272727,21.454545454545453,0,0,0
BTRW.L,11,0.005501141151554519,-0.013187381212493342,0.057656878432792234,0.07444342051967222,0.2727272727272727,0.24026643118598615,51.09090909090909,58.81818181818182,21.90909090909091,1,2,3
SGRO.L,11,0.004573292446650255,0.0008391273910526733,0.029429209970481,0.0333690968528247,0.45454545454545453,0.20119139249058474,53.54545454545455,53.81818181818182,22.636363636363637,0,0,0
ABF.L,11,0.0063241873889428365,0.012285119304756243,0.039871460667288264,0.053109265869027075,0.5454545454545454,0.287919770357224,45.90909090909091,47.81818181818182,22.818181818181817,1,3,1
WEIR.L,11,0.004666409068505318,0.016425466006957986,0.054581226706651956,0.06208955914780491,0.6363636363636364,0.3180043703021482,59.63636363636363,42.45454545454545,23.0,0,0,2
SGE.L,11,0.005084851307909981,-0.018587542684469546,0.0401409491811272,0.05110275125447495,0.45454545454545453,0.17002209387985137,41.45454545454545,61.27272727272727,23.454545454545453,0,1,0
CTEC.L,11,0.006318582611234236,0.0010737089740866445,0.047661995573035236,0.07241082368490148,0.5454545454545454,0.26532861462646745,38.09090909090909,45.45454545454545,23.727272727272727,0,3,1
SMIN.L,11,0.00477909755221381,0.01428849762659002,0.044316929257861064,0.057614518760929524,0.45454545454545453,0.5744273022146091,56.27272727272727,47.18181818181818,23.818181818181817,0,1,1
CNA.L,11,0.004261875545289818,0.016730145085051794,0.032392989571650606,0.039069142928261184,0.5454545454545454,-0.31161929424600565,65.81818181818181,44.81818181818182,24.272727272727273,0,0,1
CCEP.L,11,0.0044301941836494725,0.007382018037715581,0.036154686249065905,0.05322421780349694,0.5454545454545454,-0.0217867039695964,61.09090909090909,50.63636363636363,24.636363636363637,0,0,2
ANTO.L,11,0.009335175880229592,0.06547227363977288,0.07357732168635839,0.1125156338533903,0.7272727272727273,0.11852867969343461,15.272727272727273,34.18181818181818,25.09090909090909,2,8,3
SHEL.L,11,0.004647275479391918,0.003553220592228219,0.04373011816995715,0.05767288372413212,0.5454545454545454,0.19928384437373658,63.18181818181818,48.72727272727273,25.181818181818183,0,0,1
FCIT.L,11,0.004357318674091572,0.005486621356067546,0.03201477125110926,0.03681178581611349,0.5454545454545454,0.5176267636117109,69.54545454545455,49.27272727272727,25.363636363636363,0,0,0
HSX.L,11,0.004641409885073209,0.026183665312244263,0.04374463824057565,0.059357276213676334,0.6363636363636364,0.6397323597752383,55.63636363636363,40.27272727272727,25.545454545454547,0,0,3
LLOY.L,11,0.004675585794609563,0.043446869548353355,0.04381585355032668,0.06240176425121526,0.8181818181818182,-0.4421128879797383,49.18181818181818,34.36363636363637,25.727272727272727,0,0,2
III.L,11,0.0064243175204508,-0.010347579126609925,0.06646312764485428,0.10737124754525623,0.6363636363636364,0.10581812788016964,46.36363636363637,51.36363636363637,25.727272727272727,0,1,2
LGEN.L,11,0.004492079685156764,0.007788995310004664,0.02862280901443892,0.03421188861264249,0.5454545454545454,0.35259074317747624,60.0,47.36363636363637,26.09090909090909,0,0,1
LAND.L,11,0.004543406815075737,0.007364306237274818,0.04671375419900776,0.05185706840272147,0.45454545454545453,0.3897987527139928,55.54545454545455,48.54545454545455,26.09090909090909,0,0,0
