model,split,cost_scenario,cumulative_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,avg_turnover,median_turnover,max_turnover
XGBoost daily,train_2015_2024,cost_0bps,62.91755099100008,0.5155211886429494,0.2002813034310868,-0.1917077531989323,2.20328343974507,0.6472477064220185,0.65,1.0
XGBoost daily,train_2015_2024,cost_10bps,58.71237369651468,0.5052423668809871,0.20016295904747666,-0.19353790077852306,2.1693398279412826,0.6472477064220185,0.65,1.0
XGBoost daily,train_2015_2024,cost_20bps,54.78135940853243,0.49502656404947176,0.20004779851267143,-0.19536531243249244,2.1353220696063473,0.6472477064220185,0.65,1.0
XGBoost daily,test_2025,cost_0bps,0.3068144383753295,0.3068144383753295,0.13343210829833127,-0.045292796158787896,2.087147675877855,0.4880382775119617,0.5263157894736842,0.6842105263157895
XGBoost daily,test_2025,cost_10bps,0.2999781319322832,0.2999781319322832,0.13334128006480858,-0.04597700668510374,2.0483086223333444,0.4880382775119617,0.5263157894736842,0.6842105263157895
XGBoost daily,test_2025,cost_20bps,0.29317393487778487,0.29317393487778487,0.13325476678347273,-0.04666121721141947,2.00935155327059,0.4880382775119617,0.5263157894736842,0.6842105263157895
XGBoost daily_ohlcv,train_2015_2024,cost_0bps,94.07302068623214,0.5769057227156913,0.1956758871571785,-0.16972248207492358,2.460817317830851,0.6279816513761468,0.65,1.0
XGBoost daily_ohlcv,train_2015_2024,cost_10bps,88.0147940143486,0.566557063417479,0.19558184789993438,-0.17170859565004049,2.427002387466754,0.6279816513761468,0.65,1.0
XGBoost daily_ohlcv,train_2015_2024,cost_20bps,82.33910339462399,0.5562697730948156,0.19549092417622593,-0.17369155888482057,2.3931167841662626,0.6279816513761468,0.65,1.0
XGBoost daily_ohlcv,test_2025,cost_0bps,0.2785085513371499,0.2785085513371499,0.1225485944986445,-0.05036835726718458,2.0807109645703257,0.48325358851674644,0.5263157894736842,0.6842105263157895
XGBoost daily_ohlcv,test_2025,cost_10bps,0.2718990956419953,0.2718990956419953,0.12227154923350562,-0.05089467305665829,2.0419502031132466,0.48325358851674644,0.5263157894736842,0.6842105263157895
XGBoost daily_ohlcv,test_2025,cost_20bps,0.26532035804556786,0.26532035804556786,0.12199850482929828,-0.051420988846132,2.0029477054702474,0.48325358851674644,0.5263157894736842,0.6842105263157895
