date,0
2015-01-31,1.0
2015-02-28,1.0
2015-03-31,1.0
2015-04-30,1.0
2015-05-31,1.0
2015-06-30,1.0
2015-07-31,1.0
2015-08-31,1.0
2015-09-30,1.0
2015-10-31,1.0
2015-11-30,1.0
2015-12-31,1.0
2016-01-31,0.9648406901693971
2016-02-29,1.0684766899625402
2016-03-31,1.1002657630164991
2016-04-30,1.1564480661973793
2016-05-31,1.1333074269186203
2016-06-30,1.2276245547994342
2016-07-31,1.312363430691431
2016-08-31,1.3461646965277665
2016-09-30,1.3954370120535284
2016-10-31,1.4226118040235325
2016-11-30,1.4577050235033622
2016-12-31,1.5146587050316849
2017-01-31,1.5927995013940959
2017-02-28,1.633372645132173
2017-03-31,1.6717612273853188
2017-04-30,1.6853116140186215
2017-05-31,1.6922624206473973
2017-06-30,1.6719263419530987
2017-07-31,1.7780265426984907
2017-08-31,1.8017158796133328
2017-09-30,1.8571748213166983
2017-10-31,1.9378756944957243
2017-11-30,1.8598660550575534
2017-12-31,1.9850891734834177
2018-01-31,1.952512325799141
2018-02-28,1.8858690328119327
2018-03-31,1.911253244375961
2018-04-30,2.0117461071000733
2018-05-31,2.1036188106698557
2018-06-30,2.1089543470259113
2018-07-31,2.1206158252985974
2018-08-31,2.082853080858165
2018-09-30,2.082244196266288
2018-10-31,1.9880106084032678
2018-11-30,1.915998967326622
2018-12-31,1.823275676018954
2019-01-31,2.0080505013320344
2019-02-28,2.030794478835435
2019-03-31,2.0315680578135535
2019-04-30,2.1475738177965553
2019-05-31,1.938618716000397
2019-06-30,2.0162699285355417
2019-07-31,2.0604857807299517
2019-08-31,2.078013544180655
2019-09-30,2.205342401382034
2019-10-31,2.190915586156322
2019-11-30,2.2826572883151286
2019-12-31,2.4007813856526896
2020-01-31,2.4070413036982847
2020-02-29,2.1644853664748096
2020-03-31,1.5390223773966731
2020-04-30,1.6749458152393704
2020-05-31,1.7525561923798678
2020-06-30,1.7860260287753338
2020-07-31,1.695797849757962
2020-08-31,1.8707440592861662
2020-09-30,1.7001952507277134
2020-10-31,1.7677208891475076
2020-11-30,2.302717582934413
2020-12-31,2.434347698124578
2021-01-31,2.302800066599645
2021-02-28,2.534728361352716
2021-03-31,2.55189001646014
2021-04-30,2.670161362096503
2021-05-31,2.6977634162180193
2021-06-30,2.579090301507482
2021-07-31,2.6211444089507014
2021-08-31,2.728176548764722
2021-09-30,2.686775560794997
2021-10-31,2.672866437799442
2021-11-30,2.595456653096158
2021-12-31,2.7348798738102937
2022-01-31,2.675975605250887
2022-02-28,2.6125979679168316
2022-03-31,2.5714686733378525
2022-04-30,2.4685371983340785
2022-05-31,2.532714052627784
2022-06-30,2.2890660750051874
2022-07-31,2.506314364351643
2022-08-31,2.4004888815791436
2022-09-30,2.126780170535855
2022-10-31,2.2780340028677437
2022-11-30,2.5630235836340813
2022-12-31,2.4835219245470497
2023-01-31,2.8782006787089927
2023-02-28,2.853651237633365
2023-03-31,2.747968020697848
2023-04-30,2.83231704362946
2023-05-31,2.7174504165504834
2023-06-30,2.6795251356074274
2023-07-31,2.8552151270236883
2023-08-31,2.7600016138174768
2023-09-30,2.742088842259523
2023-10-31,2.567670398567087
2023-11-30,2.77878110104832
2023-12-31,2.9148874794676076
2024-01-31,2.8318380255341418
2024-02-29,2.755302525760296
2024-03-31,2.911702322901298
2024-04-30,2.876929834581005
2024-05-31,2.9282832300889203
2024-06-30,2.8543026551188535
2024-07-31,2.9261290295873206
2024-08-31,2.907803462432982
2024-09-30,3.030914209022333
2024-10-31,3.022147131784716
2024-11-30,3.1214488661903492
2024-12-31,3.0595852952904217
