model,split,cost_scenario,cumulative_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,avg_turnover,median_turnover,max_turnover
RF daily,train_2015_2024,cost_0bps,5.297140148439964,0.20202731269654794,0.20327771218329302,-0.260749953029898,1.0074734378857044,0.3811926605504588,0.35,0.8
RF daily,train_2015_2024,cost_10bps,5.044068899755895,0.19710691821514081,0.2032811680463447,-0.26233386509835066,0.9870166403859892,0.3811926605504588,0.35,0.8
RF daily,train_2015_2024,cost_20bps,4.8010660005221055,0.19220456563652766,0.20328635051745056,-0.26391563136122076,0.9665523289620765,0.3811926605504588,0.35,0.8
RF daily,test_2025,cost_0bps,0.35741108046839765,0.35741108046839765,0.14275822292500917,-0.037387228195302935,2.230755896353936,0.33492822966507174,0.3684210526315789,0.5789473684210527
RF daily,test_2025,cost_10bps,0.35251460475409346,0.35251460475409346,0.1429113164289584,-0.038370677315478274,2.2025865052690454,0.33492822966507174,0.3684210526315789,0.5789473684210527
RF daily,test_2025,cost_20bps,0.34763382449600866,0.34763382449600866,0.1430669849961947,-0.03935363890102761,2.174438263996524,0.33492822966507174,0.3684210526315789,0.5789473684210527
RF daily_ohlcv,train_2015_2024,cost_0bps,6.103098430049339,0.2165915152673723,0.20098652623858473,-0.26449328456277443,1.0775556794109724,0.3880733944954127,0.35,0.75
RF daily_ohlcv,train_2015_2024,cost_10bps,5.812509886536054,0.2115203531866381,0.20102540102819727,-0.26606101391854575,1.0563051820684317,0.3880733944954127,0.35,0.75
RF daily_ohlcv,train_2015_2024,cost_20bps,5.533688856005686,0.20646810442167385,0.2010661561877393,-0.26762657074993634,1.0350532221800135,0.3880733944954127,0.35,0.75
RF daily_ohlcv,test_2025,cost_0bps,0.3834419306252168,0.3834419306252168,0.14571577554827034,-0.04583060426905761,2.3221320779995276,0.3014354066985646,0.3157894736842105,0.47368421052631576
RF daily_ohlcv,test_2025,cost_10bps,0.3789698257770102,0.3789698257770102,0.14577607580409813,-0.046251656900636595,2.298425755730998,0.3014354066985646,0.3157894736842105,0.47368421052631576
RF daily_ohlcv,test_2025,cost_20bps,0.3745105994566382,0.3745105994566382,0.14583838697385992,-0.04667270953221547,2.2747076720158073,0.3014354066985646,0.3157894736842105,0.47368421052631576
