date,n_stocks,n_top,n_bottom,top_avg_realized_return,all_avg_realized_return,bottom_avg_realized_return,top_minus_all,all_minus_bottom,top_minus_bottom,top_gt_all,bottom_lt_all,top_gt_bottom
2025-01-31,93,18,18,0.0044264688233706904,0.00746467163062019,-0.007509621131691923,-0.0030382028072494993,0.014974292762312113,0.011936089955062613,0.0,1.0,1.0
2025-02-28,93,18,18,-0.041588946972988476,-0.03238264672780464,-0.030491246837390962,-0.009206300245183839,-0.0018913998904136753,-0.011097700135597514,0.0,0.0,0.0
2025-03-31,92,18,18,0.03822120513479796,0.023078520015776535,0.050932901732344,0.015142685119021424,-0.027854381716567466,-0.012711696597546042,1.0,0.0,0.0
2025-04-30,92,18,18,0.11922018115450629,0.05700199914886116,0.021177537228828234,0.062218182005645134,0.03582446192003293,0.09804264392567806,1.0,1.0,1.0
2025-05-31,93,18,18,0.06787037420297201,0.0149968428080082,-0.007168110745052317,0.05287353139496381,0.022164953553060515,0.07503848494802433,1.0,1.0,1.0
2025-06-30,94,18,18,0.040669446875691746,0.020733771083650085,0.006295029743050452,0.01993567579204166,0.014438741340599633,0.03437441713264129,1.0,1.0,1.0
2025-07-31,94,18,18,0.028384297555261086,-0.0022524091667620216,-0.0049440223316076625,0.030636706722023108,0.002691613164845641,0.03332831988686875,1.0,1.0,1.0
2025-08-31,94,18,18,0.0684353480448673,0.029898289320032644,0.04091640138252365,0.03853705872483465,-0.011018112062491005,0.027518946662343648,1.0,0.0,1.0
2025-09-30,94,18,18,0.011787155183690287,0.030476688454233725,0.055185159041565755,-0.018689533270543436,-0.02470847058733203,-0.04339800385787547,0.0,0.0,0.0
2025-10-31,94,18,18,0.0020267368132176945,-0.009374750649834998,-0.0007688534360406013,0.011401487463052692,-0.008605897213794397,0.002795590249258296,1.0,0.0,1.0
2025-11-30,91,18,18,0.04520966929754238,0.022418505095901535,0.016663774663965753,0.022791164201640846,0.005754730431935782,0.028545894633576627,1.0,1.0,1.0
