date,n_stocks,n_top,n_bottom,top_avg_realized_return,all_avg_realized_return,bottom_avg_realized_return,top_minus_all,all_minus_bottom,top_minus_bottom,top_gt_all,bottom_lt_all,top_gt_bottom,model
2025-01-31,93,18,18,-0.010174240230969413,0.007464659223213297,0.016528412662605192,-0.017638899454182712,-0.009063753439391895,-0.026702652893574604,0.0,0.0,0.0,Ridge daily
2025-02-28,93,18,18,-0.05576542133183641,-0.03238264198687845,-0.04006039292975493,-0.023382779344957957,0.007677750942876482,-0.015705028402081475,0.0,1.0,0.0,Ridge daily
2025-03-31,92,18,18,0.0033628891270975165,0.023078523358766197,0.026160568935610518,-0.01971563423166868,-0.003082045576844321,-0.022797679808513,0.0,0.0,0.0,Ridge daily
2025-04-30,92,18,18,0.1135247108617776,0.05700199991802513,0.018707323733397306,0.05652271094375246,0.03829467618462783,0.09481738712838028,1.0,1.0,1.0,Ridge daily
2025-05-31,93,18,18,0.05518597368663708,0.014996840700512023,0.022494735235413704,0.04018913298612506,-0.007497894534901682,0.032691238451223376,1.0,0.0,1.0,Ridge daily
2025-06-30,94,18,18,-0.02519821448761685,0.02073377715606135,0.04208031591994638,-0.0459319916436782,-0.021346538763885033,-0.06727853040756324,0.0,0.0,0.0,Ridge daily
2025-07-31,94,18,18,0.02566486817224664,-0.002252414971261099,-0.0069113808914001386,0.02791728314350774,0.00465896592013904,0.03257624906364678,1.0,1.0,1.0,Ridge daily
2025-08-31,94,18,18,0.07885776240563783,0.02989829045210979,0.030559101223419743,0.04895947195352804,-0.0006608107713099512,0.04829866118221808,1.0,0.0,1.0,Ridge daily
2025-09-30,94,18,18,0.02111150124895988,0.03047668761445391,0.033246196026718,-0.009365186365494032,-0.0027695084122640913,-0.012134694777758123,0.0,0.0,0.0,Ridge daily
2025-10-31,94,18,18,0.008567164543153788,-0.00937474993225016,-0.025250399566650147,0.01794191447540395,0.015875649634399986,0.03381756410980394,1.0,1.0,1.0,Ridge daily
2025-11-30,91,18,18,0.056503793817384795,0.022418505095901535,0.007027101580663366,0.03408528872148326,0.01539140351523817,0.04947669223672143,1.0,1.0,1.0,Ridge daily
2025-01-31,93,18,18,0.001981676170512834,0.00746467163062019,-0.003276938675132336,-0.005482995460107356,0.010741610305752526,0.00525861484564517,0.0,1.0,1.0,Ridge daily_ohlcv
2025-02-28,93,18,18,-0.07234951853960021,-0.03238264672780464,-0.012067958116874585,-0.039966871811795576,-0.020314688610930054,-0.06028156042272563,0.0,0.0,0.0,Ridge daily_ohlcv
2025-03-31,92,18,18,0.01524533065435038,0.023078520015776535,0.01488996567661069,-0.007833189361426154,0.008188554339165845,0.00035536497773969167,0.0,1.0,1.0,Ridge daily_ohlcv
2025-04-30,92,18,18,0.11379616120824476,0.05700199914886116,0.019055204238908573,0.056794162059383604,0.037946794909952584,0.09474095696933618,1.0,1.0,1.0,Ridge daily_ohlcv
2025-05-31,93,18,18,0.046743574833351925,0.0149968428080082,0.008384705803138706,0.03174673202534373,0.006612137004869494,0.03835886903021322,1.0,1.0,1.0,Ridge daily_ohlcv
2025-06-30,94,18,18,-0.04023263468935768,0.020733771083650085,0.04365570258375798,-0.06096640577300776,-0.022921931500107892,-0.08388833727311565,0.0,0.0,0.0,Ridge daily_ohlcv
2025-07-31,94,18,18,0.00982236805776866,-0.0022524091667620216,0.005411625413653836,0.01207477722453068,-0.007664034580415858,0.004410742644114824,1.0,0.0,1.0,Ridge daily_ohlcv
2025-08-31,94,18,18,0.06922040429669313,0.029898289320032644,0.026688394170857378,0.03932211497666048,0.0032098951491752667,0.042532010125835754,1.0,1.0,1.0,Ridge daily_ohlcv
2025-09-30,94,18,18,0.013844251430373147,0.030476688454233725,0.05208287063665561,-0.01663243702386058,-0.02160618218242188,-0.03823861920628246,0.0,0.0,0.0,Ridge daily_ohlcv
2025-10-31,94,18,18,0.009310535297720607,-0.009374750649834998,-0.010619534003977079,0.018685285947555606,0.0012447833541420813,0.019930069301697686,1.0,1.0,1.0,Ridge daily_ohlcv
2025-11-30,91,18,18,0.05444667236455526,0.022418505095901535,0.003343336249095417,0.03202816726865373,0.01907516884680612,0.05110333611545984,1.0,1.0,1.0,Ridge daily_ohlcv
2025-01-31,93,18,18,-0.002063726928907016,0.007464659223213297,0.013324380998560573,-0.009528386152120313,-0.005859721775347276,-0.015388107927467589,0.0,0.0,0.0,RF daily
2025-02-28,93,18,18,-0.03549833407112632,-0.03238264198687845,-0.014484818396541008,-0.003115692084247869,-0.017897823590337442,-0.02101351567458531,0.0,0.0,0.0,RF daily
2025-03-31,92,18,18,0.01785227234849027,0.023078523358766197,0.03536682281427305,-0.005226251010275927,-0.012288299455506854,-0.01751455046578278,0.0,0.0,0.0,RF daily
2025-04-30,92,18,18,0.11678528571802373,0.05700199991802513,0.02133463652529471,0.059783285799998594,0.035667363392730425,0.09545064919272901,1.0,1.0,1.0,RF daily
2025-05-31,93,18,18,0.0720618398828793,0.014996840700512023,0.011758395415609977,0.05706499918236728,0.003238445284902046,0.060303444467269325,1.0,1.0,1.0,RF daily
2025-06-30,94,18,18,0.04066945883216194,0.02073377715606135,0.01235978107723703,0.019935681676100592,0.00837399607882432,0.028309677754924913,1.0,1.0,1.0,RF daily
2025-07-31,94,18,18,0.03314217865639851,-0.002252414971261099,-0.00859798490840442,0.035394593627659614,0.006345569937143322,0.04174016356480294,1.0,1.0,1.0,RF daily
2025-08-31,94,18,18,0.06843976236704039,0.02989829045210979,0.009632329626381865,0.0385414719149306,0.020265960825727927,0.05880743274065852,1.0,1.0,1.0,RF daily
2025-09-30,94,18,18,0.028327557852690574,0.03047668761445391,0.03639188377424582,-0.002149129761763336,-0.00591519615979191,-0.008064325921555246,0.0,0.0,0.0,RF daily
2025-10-31,94,18,18,-0.014330363006808951,-0.00937474993225016,-0.0051570803014578314,-0.004955613074558791,-0.004217669630792329,-0.00917328270535112,0.0,0.0,0.0,RF daily
2025-11-30,91,18,18,0.053902089710094366,0.022418505095901535,0.0178169493877367,0.03148358461419283,0.004601555708164836,0.03608514032235767,1.0,1.0,1.0,RF daily
2025-01-31,93,18,18,0.0044264688233706904,0.00746467163062019,-0.007509621131691923,-0.0030382028072494993,0.014974292762312113,0.011936089955062613,0.0,1.0,1.0,RF daily_ohlcv
2025-02-28,93,18,18,-0.041588946972988476,-0.03238264672780464,-0.030491246837390962,-0.009206300245183839,-0.0018913998904136753,-0.011097700135597514,0.0,0.0,0.0,RF daily_ohlcv
2025-03-31,92,18,18,0.03822120513479796,0.023078520015776535,0.050932901732344,0.015142685119021424,-0.027854381716567466,-0.012711696597546042,1.0,0.0,0.0,RF daily_ohlcv
2025-04-30,92,18,18,0.11922018115450629,0.05700199914886116,0.021177537228828234,0.062218182005645134,0.03582446192003293,0.09804264392567806,1.0,1.0,1.0,RF daily_ohlcv
2025-05-31,93,18,18,0.06787037420297201,0.0149968428080082,-0.007168110745052317,0.05287353139496381,0.022164953553060515,0.07503848494802433,1.0,1.0,1.0,RF daily_ohlcv
