date,n_stocks,n_top,n_bottom,top_avg_realized_return,all_avg_realized_return,bottom_avg_realized_return,top_minus_all,all_minus_bottom,top_minus_bottom,top_gt_all,bottom_lt_all,top_gt_bottom
2025-01-31,93,18,18,-0.010174240230969413,0.007464659223213297,0.016528412662605192,-0.017638899454182712,-0.009063753439391895,-0.026702652893574604,0.0,0.0,0.0
2025-02-28,93,18,18,-0.05576542133183641,-0.03238264198687845,-0.04006039292975493,-0.023382779344957957,0.007677750942876482,-0.015705028402081475,0.0,1.0,0.0
2025-03-31,92,18,18,0.0033628891270975165,0.023078523358766197,0.026160568935610518,-0.01971563423166868,-0.003082045576844321,-0.022797679808513,0.0,0.0,0.0
2025-04-30,92,18,18,0.1135247108617776,0.05700199991802513,0.018707323733397306,0.05652271094375246,0.03829467618462783,0.09481738712838028,1.0,1.0,1.0
2025-05-31,93,18,18,0.05518597368663708,0.014996840700512023,0.022494735235413704,0.04018913298612506,-0.007497894534901682,0.032691238451223376,1.0,0.0,1.0
2025-06-30,94,18,18,-0.02519821448761685,0.02073377715606135,0.04208031591994638,-0.0459319916436782,-0.021346538763885033,-0.06727853040756324,0.0,0.0,0.0
2025-07-31,94,18,18,0.02566486817224664,-0.002252414971261099,-0.0069113808914001386,0.02791728314350774,0.00465896592013904,0.03257624906364678,1.0,1.0,1.0
2025-08-31,94,18,18,0.07885776240563783,0.02989829045210979,0.030559101223419743,0.04895947195352804,-0.0006608107713099512,0.04829866118221808,1.0,0.0,1.0
2025-09-30,94,18,18,0.02111150124895988,0.03047668761445391,0.033246196026718,-0.009365186365494032,-0.0027695084122640913,-0.012134694777758123,0.0,0.0,0.0
2025-10-31,94,18,18,0.008567164543153788,-0.00937474993225016,-0.025250399566650147,0.01794191447540395,0.015875649634399986,0.03381756410980394,1.0,1.0,1.0
2025-11-30,91,18,18,0.056503793817384795,0.022418505095901535,0.007027101580663366,0.03408528872148326,0.01539140351523817,0.04947669223672143,1.0,1.0,1.0
