trial_number,XGB_N_ESTIMATORS,XGB_MAX_DEPTH,XGB_LEARNING_RATE,XGB_SUBSAMPLE,XGB_COLSAMPLE_BYTREE,XGB_REG_ALPHA,XGB_REG_LAMBDA,XGB_MIN_CHILD_WEIGHT,XGB_GAMMA,fold,train_start,train_end,val_start,val_end,RMSE,DirectionalAccuracy,SpearmanRankCorr_mean,TopKHitRate_mean,Months_evaluated
0,500,5,0.018559745019538266,0.779597545259111,0.6624074561769746,0.3119890406724053,1.2323344486727978,18,0.6011150117432088,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06431488103266665,0.4729005360333532,,0.19005847953216373,18
0,500,5,0.018559745019538266,0.779597545259111,0.6624074561769746,0.3119890406724053,1.2323344486727978,18,0.6011150117432088,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09374275687619141,0.5710942071386775,,0.1735380116959064,18
0,500,5,0.018559745019538266,0.779597545259111,0.6624074561769746,0.3119890406724053,1.2323344486727978,18,0.6011150117432088,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09360884848325235,0.5431818181818182,-0.08518253811914579,0.21388888888888888,18
0,500,5,0.018559745019538266,0.779597545259111,0.6624074561769746,0.3119890406724053,1.2323344486727978,18,0.6011150117432088,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08516981962572802,0.4886621315192744,0.05477873351177392,0.2555555555555556,18
0,500,5,0.018559745019538266,0.779597545259111,0.6624074561769746,0.3119890406724053,1.2323344486727978,18,0.6011150117432088,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07219864203689116,0.5284414106939704,-0.02740302144063132,0.26535087719298245,18
1,700,2,0.028425398939327114,0.8497327922401265,0.6849356442713105,0.36364993441420124,1.7336180394137353,9,0.5247564316322378,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.0642702215032568,0.4729005360333532,,0.19005847953216373,18
1,700,2,0.028425398939327114,0.8497327922401265,0.6849356442713105,0.36364993441420124,1.7336180394137353,9,0.5247564316322378,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.093739472947631,0.5710942071386775,,0.1735380116959064,18
1,700,2,0.028425398939327114,0.8497327922401265,0.6849356442713105,0.36364993441420124,1.7336180394137353,9,0.5247564316322378,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09401804894594416,0.5448863636363637,-0.06852535983482827,0.2138888888888889,18
1,700,2,0.028425398939327114,0.8497327922401265,0.6849356442713105,0.36364993441420124,1.7336180394137353,9,0.5247564316322378,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08514460628896474,0.4886621315192744,0.06304167896366351,0.2583333333333334,18
1,700,2,0.028425398939327114,0.8497327922401265,0.6849356442713105,0.36364993441420124,1.7336180394137353,9,0.5247564316322378,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07222912379099415,0.5261660978384528,-0.02075827781311215,0.26535087719298245,18
2,600,3,0.014965254242886725,0.6418481581956126,0.7168578594140873,0.7327236865873834,2.8242799368681437,17,0.19967378215835974,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06409806062948309,0.4729005360333532,-0.03155732274275494,0.22807017543859645,18
