,importance_mean
ret_5d,0.09920826
dist_252d_high,0.09205134
ret_120d,0.08569882
vol_120d,0.08332984
ma_ratio_60_252,0.07418796
drawdown_60d,0.07375553
ret_20d,0.07241108
vol_20d,0.072101735
vol_60d,0.07178298
ret_252d,0.07119021
rsi_14d,0.069597356
ret_60d,0.06766854
ma_ratio_20_60,0.06701639
