model,split,cumulative_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,avg_turnover,median_turnover,max_turnover
MLP daily,train_2015_2024,4.557907684869168,0.18711046326344505,0.19790511655139445,-0.2290447745125591,0.9651561508602098,0.5330275229357798,0.55,0.9
MLP daily,test_2025,0.29091992863296734,0.29091992863296734,0.1357541215109976,-0.043890159973756115,1.9611353096658284,0.4497607655502392,0.47368421052631576,0.631578947368421
MLP daily_ohlcv,train_2015_2024,4.566087675296101,0.18728506362524544,0.18764051294228964,-0.22220439843575546,1.008588350863369,0.6155963302752293,0.6,0.9
MLP daily_ohlcv,test_2025,0.14103103701232023,0.14103103701232023,0.14019105226364292,-0.07965919957694867,1.009288311222771,0.5502392344497608,0.5789473684210527,0.7368421052631579
