metric,train_2015_2024,test_2025
cumulative_return,1.0593431120500032,0.16931614437065812
annualized_return,0.07491190074972298,0.16931614437065812
annualized_volatility,0.1461062373283789,0.0885444306336424
max_drawdown,-0.23412973318476715,-0.03911231841693841
sharpe_ratio,0.5684274215700598,1.818266767213506
avg_turnover,0.7156250000000001,0.6727272727272727
median_turnover,0.75,0.7
max_turnover,1.0,0.9
