Cost,Baseline_cumulative_return,Ridge_cumulative_return,XGBoost_cumulative_return,Baseline_annualized_return,Ridge_annualized_return,XGBoost_annualized_return,Baseline_sharpe_ratio,Ridge_sharpe_ratio,XGBoost_sharpe_ratio,Baseline_max_drawdown,Ridge_max_drawdown,XGBoost_max_drawdown
cost_0bps,0.2955689511146875,0.05599583429388999,0.2358397345765706,0.2955689511146875,0.05599583429388999,0.2358397345765706,2.10910537680073,0.40585652254925436,1.741929456760951,-0.07575019284533024,-0.11675435148291724,-0.06368204546045919
cost_10bps,0.29326544229515994,0.049202765747354604,0.22828571774072293,0.29326544229515994,0.049202765747354604,0.22828571774072293,2.0927644650063733,0.3669849806889198,1.6945110614593595,-0.07605019284533021,-0.11818932368612456,-0.06433204546045923
cost_20bps,0.29096556378067606,0.042448920960506786,0.22077315234570172,0.29096556378067606,0.042448920960506786,0.22077315234570172,2.0764485041968435,0.3280146685734849,1.6469059930573238,-0.07635019284533018,-0.11962276236041336,-0.06498204546045927
