Cost,Baseline,Ridge,XGBoost
0 bps,0.2955689511146875,0.05599583429388999,0.2358397345765706
10 bps,0.29326544229515994,0.049202765747354604,0.22828571774072293
20 bps,0.29096556378067606,0.042448920960506786,0.22077315234570172
