alpha,RMSE_mean,RMSE_std,DirectionalAccuracy_mean,DirectionalAccuracy_std,SpearmanRankCorr_mean,SpearmanRankCorr_std,TopKHitRate_mean,TopKHitRate_std,Months_evaluated_mean
0.01,0.08358164914525576,0.015288920841122164,0.50420991873027,0.027847536463224774,-0.004270868702389977,0.02518264119308255,0.2260233918128655,0.013347000407952373,18.0
0.1,0.08358162090129898,0.015288928077165113,0.50420991873027,0.027847536463224774,-0.004262654369371304,0.025171689460008688,0.2260233918128655,0.013347000407952373,18.0
1.0,0.08358133892410277,0.015289000104731668,0.50420991873027,0.027847536463224774,-0.004263415871274732,0.025210526061974107,0.2260233918128655,0.013347000407952373,18.0
10.0,0.0835785644436284,0.015289688040275385,0.5035240828454276,0.02627544831956163,-0.00440274690803028,0.025126877683979205,0.22663742690058478,0.01181382443563061,18.0
100.0,0.08355457819089587,0.015294078781305571,0.5043080765605399,0.024749499180292595,-0.0053785294739577575,0.024101550482157622,0.22941520467836257,0.011931741475393035,18.0
