,importance_mean
ret_5d,0.14382246942832067
dist_252d_high,0.12472602725785774
ret_252d,0.11984714554349685
vol_20d,0.07311894520309538
vol_120d,0.06809540375417832
drawdown_60d,0.0668499273103773
ma_ratio_60_252,0.058537337111546316
ret_20d,0.056107803819143716
ret_60d,0.049327010808350606
ret_120d,0.04703355016062762
ma_ratio_20_60,0.04522260641254699
vol_60d,0.044859006132523215
ret_spread_5d_20d,0.039365316236153074
rsi_14d,0.036208150595076066
ret_spread_20d_60d,0.02687930022670618
