date,n_stocks,n_top,n_bottom,top_avg_realized_return,all_avg_realized_return,bottom_avg_realized_return,top_minus_all,all_minus_bottom,top_minus_bottom,top_gt_all,bottom_lt_all,top_gt_bottom
2025-01-31,93,18,18,0.015683544145835462,0.00746467163062019,-0.02983709759459141,0.008218872515215272,0.0373017692252116,0.04552064174042687,1.0,1.0,1.0
2025-02-28,93,18,18,-0.05920996778845325,-0.03238264672780464,-0.029043525719713345,-0.026827321060648612,-0.003339121008091292,-0.030166442068739904,0.0,0.0,0.0
2025-03-31,92,18,18,0.04081437639793947,0.023078520015776535,0.020107776614660736,0.017735856382162938,0.002970743401115798,0.020706599783278736,1.0,1.0,1.0
2025-04-30,92,18,18,0.07576312013693105,0.05700199914886116,0.06025000704804542,0.018761120988069896,-0.003248007899184266,0.01551311308888563,1.0,0.0,1.0
2025-05-31,93,18,18,0.06145794670716612,0.0149968428080082,0.01778596150876405,0.04646110389915792,-0.002789118700755851,0.04367198519840207,1.0,0.0,1.0
2025-06-30,94,18,18,0.016762547744786346,0.020733771083650085,0.01824254445871468,-0.003971223338863739,0.0024912266249354047,-0.001479996713928334,0.0,1.0,0.0
2025-07-31,94,18,18,0.0152209460847158,-0.0022524091667620216,-0.019302521242553737,0.01747335525147782,0.017050112075791716,0.03452346732726953,1.0,1.0,1.0
2025-08-31,94,18,18,0.0756356576384119,0.029898289320032644,0.009691094060837844,0.045737368318379254,0.020207195259194802,0.06594456357757406,1.0,1.0,1.0
2025-09-30,94,18,18,0.01810454498967057,0.030476688454233725,0.03064617656509904,-0.012372143464563154,-0.00016948811086531582,-0.01254163157542847,0.0,0.0,0.0
2025-10-31,94,18,18,0.0013392803643754482,-0.009374750649834998,-0.037235886232225276,0.010714031014210446,0.027861135582390277,0.03857516659660072,1.0,1.0,1.0
2025-11-30,91,18,18,0.04151240608524423,0.022418505095901535,0.018995849609830487,0.019093900989342695,0.003422655486071048,0.022516556475413743,1.0,1.0,1.0
