model,split,cost_scenario,cumulative_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,avg_turnover,median_turnover,max_turnover
Ridge daily,train_2015_2024,cost_0bps,2.058408058241917,0.11827738682338951,0.2112039892643525,-0.3606165557807345,0.6374872278903592,0.39678899082568814,0.4,0.7
Ridge daily,train_2015_2024,cost_10bps,1.9296780202620787,0.11347889371201614,0.21121012893342342,-0.3614141708755214,0.6169914591387538,0.39678899082568814,0.4,0.7
Ridge daily,train_2015_2024,cost_20bps,1.8063147116880387,0.10869895273635044,0.21121758348248393,-0.36221139597030827,0.5964931686000727,0.39678899082568814,0.4,0.7
Ridge daily,test_2025,cost_0bps,0.21760682486068617,0.21760682486068617,0.15597579484599755,-0.061110260850840925,1.3418894088160775,0.4258373205741627,0.47368421052631576,0.5789473684210527
Ridge daily,test_2025,cost_10bps,0.21200775468105792,0.21200775468105792,0.15593872938262104,-0.06234017723643115,1.3121695772391089,0.4258373205741627,0.47368421052631576,0.5789473684210527
Ridge daily,test_2025,cost_20bps,0.20643180139891215,0.20643180139891215,0.15590450282990265,-0.06380604109753052,1.2824122616972566,0.4258373205741627,0.47368421052631576,0.5789473684210527
Ridge daily_ohlcv,train_2015_2024,cost_0bps,2.500961372556908,0.13349271150477038,0.21450296121260176,-0.38408143043903964,0.6943963341273213,0.42385321100917434,0.4,0.7
Ridge daily_ohlcv,train_2015_2024,cost_10bps,2.344325621888093,0.1283162830464495,0.21446320268203614,-0.38514654219469,0.6729829085853479,0.42385321100917434,0.4,0.7
Ridge daily_ohlcv,train_2015_2024,cost_20bps,2.194631984114968,0.12316117764040335,0.21442489372043536,-0.3862104876307445,0.6515571373333078,0.42385321100917434,0.4,0.7
Ridge daily_ohlcv,test_2025,cost_0bps,0.159957572008689,0.159957572008689,0.1614001746452071,-0.07257109320627009,0.9976741189918654,0.4593301435406698,0.47368421052631576,0.5789473684210527
Ridge daily_ohlcv,test_2025,cost_10bps,0.1541926093282422,0.1541926093282422,0.16129058958277065,-0.07309740899574368,0.9670257010580364,0.4593301435406698,0.47368421052631576,0.5789473684210527
Ridge daily_ohlcv,test_2025,cost_20bps,0.14845341698302916,0.14845341698302916,0.16118396725132447,-0.07362372478521739,0.9363183972949105,0.4593301435406698,0.47368421052631576,0.5789473684210527
