cost_scenario,cumulative_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,avg_turnover,median_turnover,max_turnover
cost_0bps,1.5742802395098145,0.09917181154745247,0.13088239505144827,-0.25528741771774877,0.7918588519677835,0.20708333333333334,0.2,0.55
cost_10bps,1.5116485866877056,0.09646781339773747,0.13084395078761868,-0.25563348566601907,0.7730994247676428,0.20708333333333334,0.2,0.55
cost_20bps,1.4505248491669804,0.09376975755450867,0.13080662961000775,-0.2559794736142894,0.7543224940694037,0.20708333333333334,0.2,0.55
