date,ticker,y_next_1m,pred_return,pred_rank,actual_rank,rank_error,pred_topk,actual_topk,topk_hit,pred_minus_actual
2025-01-31,STJ.L,0.0037951180733641,0.032055248,1,39,38,True,False,False,0.028260129926635902
2025-01-31,ABF.L,-0.0036804051424496,0.028059093,2,45,43,True,False,False,0.0317394981424496
2025-01-31,JD.L,-0.1241023475545886,0.027210841,3,93,90,True,False,False,0.15131318855458858
2025-01-31,BRBY.L,-0.0889261744966442,0.021215277,4,90,86,True,False,False,0.1101414514966442
2025-01-31,BARC.L,0.0483347643605462,0.016866589,5,22,17,True,False,False,-0.0314681753605462
2025-01-31,AAL.L,-0.0186935404195907,0.0155498255,6,61,55,True,False,False,0.0342433659195907
2025-01-31,AAF.L,-0.0124651799912378,0.01264035,7,55,48,True,False,False,0.0251055299912378
2025-01-31,RR.L,0.2277228740051593,0.012576941,8,2,6,True,True,True,-0.2151459330051593
2025-01-31,FRES.L,0.0668102737249976,0.011798583,9,12,3,True,True,True,-0.05501169072499759
2025-01-31,RMV.L,0.002390131029518,0.010984519,10,40,30,True,False,False,0.008594387970482
2025-01-31,NWG.L,0.1055183405024191,0.010836308,11,8,3,True,True,True,-0.09468203250241909
2025-01-31,WTB.L,-0.0494133781063891,0.010614353,12,78,66,True,False,False,0.0600277311063891
2025-01-31,ICG.L,-0.0371307910778017,0.0068227686,13,71,58,True,False,False,0.0439535596778017
2025-01-31,KGF.L,0.002030824586457,0.006673535,14,41,27,True,False,False,0.004642710413543001
2025-01-31,EZJ.L,-0.0122645825665981,0.0064553563,15,53,38,True,False,False,0.0187199388665981
2025-01-31,GAW.L,-0.0178571428571426,0.006365762,16,59,43,True,False,False,0.0242229048571426
2025-01-31,PCT.L,-0.1066666666666666,0.006247804,17,92,75,True,False,False,0.1129144706666666
2025-01-31,HLMA.L,-0.0798554115712147,0.0060221506,18,88,70,True,False,False,0.0858775621712147
2025-01-31,SMT.L,-0.040073724397877,0.006003708,19,72,53,True,False,False,0.046077432397877
2025-01-31,BT-A.L,0.1261451272461617,0.0059100655,20,7,13,False,True,False,-0.12023506174616169
2025-01-31,SVT.L,-0.009497498885316,0.0055090575,21,52,31,False,False,False,0.015006556385315999
2025-01-31,AUTO.L,-0.0187246629775372,0.0050380565,22,62,40,False,False,False,0.0237627194775372
2025-01-31,BEZ.L,0.0459427657197086,0.0045072827,23,23,0,False,False,False,-0.041435483019708605
2025-01-31,CCH.L,0.1957295840666708,0.0038695491,24,3,21,False,True,False,-0.19186003496667078
2025-01-31,LLOY.L,0.170677002301127,0.0035758994,25,4,21,False,True,False,-0.167101102901127
2025-01-31,RIO.L,-0.0198322086051718,0.0034801504,26,63,37,False,False,False,0.023312359005171798
2025-01-31,SMIN.L,-0.0251694358033888,0.0034685452,27,65,38,False,False,False,0.0286379810033888
2025-01-31,HIK.L,-0.0575917318677295,0.0034493608,28,80,52,False,False,False,0.0610410926677295
2025-01-31,NXT.L,0.0073351771902088,0.0032893764,29,36,7,False,False,False,-0.0040458007902088
2025-01-31,DPLM.L,-0.0123022371975692,0.003282023,30,54,24,False,False,False,0.0155842601975692
2025-01-31,STAN.L,0.1620877658146515,0.0031911081,31,5,26,False,True,False,-0.1588966577146515
2025-01-31,BKG.L,-0.0726429712365618,0.0031536196,32,87,55,False,False,False,0.0757965908365618
2025-01-31,CNA.L,0.0491228690291045,0.0029885082,33,21,12,False,False,False,-0.046134360829104507
2025-01-31,PSON.L,0.0141527875233524,0.002986142,34,32,2,False,False,False,-0.011166645523352399
2025-01-31,BNZL.L,-0.0232018360996085,0.0028623813,35,64,29,False,False,False,0.0260642173996085
2025-01-31,UU.L,-0.0418377340040914,0.00284594,36,73,37,False,False,False,0.0446836740040914
2025-01-31,PSH.L,-0.0060350207759645,0.002720946,37,48,11,False,False,False,0.0087559667759645
2025-01-31,ULVR.L,-0.0312170669247916,0.0025025858,38,67,29,False,False,False,0.0337196527247916
2025-01-31,HLN.L,0.0632505029759851,0.0023056972,39,15,24,False,True,False,-0.0609448057759851
2025-01-31,TSCO.L,0.021493853538248,0.002207126,40,28,12,False,False,False,-0.019286727538248
2025-01-31,MKS.L,0.0565814113137008,0.002100298,41,17,24,False,True,False,-0.0544811133137008
2025-01-31,SHEL.L,-0.0157659707455226,0.0018076986,42,56,14,False,False,False,0.0175736693455226
2025-01-31,SSE.L,-0.0634384899645668,0.0013042735,43,86,43,False,False,False,0.0647427634645668
2025-01-31,INF.L,-0.008541154565218,0.0010034146,44,50,6,False,False,False,0.009544569165218
2025-01-31,BP.L,0.0200176945606569,0.0009762633,45,29,16,False,False,False,-0.0190414312606569
2025-01-31,EXPN.L,-0.0606438670020034,0.00091925956,46,83,37,False,False,False,0.061563126562003405
2025-01-31,LSEG.L,-0.0157873030269486,0.00086291647,47,57,10,False,False,False,0.016650219496948598
2025-01-31,SGE.L,-0.0615725940669389,0.0007491893,48,84,36,False,False,False,0.0623217833669389
2025-01-31,CPG.L,-0.0064493025482589,0.00070962566,49,49,0,False,False,False,0.0071589282082589
2025-01-31,VOD.L,0.0218403533132676,0.00066644925,50,27,23,False,False,False,-0.0211739040632676
2025-01-31,MRO.L,0.0453359648064375,0.0005555511,51,24,27,False,False,False,-0.0447804137064375
2025-01-31,EDV.L,-0.060255607544699,0.00048783407,52,82,30,False,False,False,0.060743441614698995
2025-01-31,RTO.L,-0.0020059525668419,0.00048554043,53,44,9,False,False,False,0.0024914929968419
2025-01-31,IMI.L,-0.0049701835709965,0.00046163987,54,47,7,False,False,False,0.005431823440996499
2025-01-31,WEIR.L,0.001648686123981,0.00014530827,55,42,13,False,False,False,-0.001503377853981
2025-01-31,BATS.L,-0.0344072465237943,1.1422093e-05,56,68,12,False,False,False,0.0344186686167943
2025-01-31,SBRY.L,0.0165094750181913,-5.3969346e-05,57,30,27,False,False,False,-0.0165634443641913
2025-01-31,FCIT.L,-0.0353536334499848,-0.00016780148,58,70,12,False,False,False,0.0351858319699848
2025-01-31,REL.L,-0.0514285922283269,-0.0005914592,59,79,20,False,False,False,0.0508371330283269
2025-01-31,BA.L,0.1491012855934177,-0.0006001194,60,6,54,False,True,False,-0.1497014049934177
2025-01-31,IHG.L,-0.0824399807454369,-0.0008644614,61,89,28,False,False,False,0.0815755193454369
2025-01-31,ALW.L,-0.048288271571692,-0.0017336523,62,77,15,False,False,False,0.046554619271692
2025-01-31,III.L,0.0135757375599259,-0.0017745028,63,33,30,False,False,False,-0.0153502403599259
2025-01-31,HSBA.L,0.1039375920090965,-0.002188189,64,9,55,False,True,False,-0.1061257810090965
2025-01-31,ITRK.L,0.0048923890435268,-0.002189916,65,38,27,False,False,False,-0.0070823050435268
2025-01-31,RKT.L,-0.0168855562781609,-0.0022300126,66,58,8,False,False,False,0.014655543678160899
2025-01-31,LMP.L,2.220446049250313e-16,-0.002575043,67,43,24,False,False,False,-0.002575043000000222
2025-01-31,AV.L,0.0591439040223791,-0.0030213448,68,16,52,False,True,False,-0.0621652488223791
2025-01-31,ADM.L,0.0636329397124568,-0.0035842885,69,14,55,False,True,False,-0.0672172282124568
2025-01-31,ANTO.L,0.0049275211327097,-0.0035955193,70,37,33,False,False,False,-0.0085230404327097
2025-01-31,HSX.L,0.0850870683184419,-0.0038493276,71,10,61,False,True,False,-0.0889363959184419
2025-01-31,ENT.L,0.0563100654186874,-0.003851205,72,18,54,False,True,False,-0.06016127041868739
2025-01-31,SGRO.L,-0.0183997247525279,-0.004082615,73,60,13,False,False,False,0.014317109752527899
2025-01-31,GSK.L,0.0438884387041007,-0.004491416,74,25,49,False,False,False,-0.0483798547041007
2025-01-31,CCEP.L,0.0656250364888801,-0.004664089,75,13,62,False,True,False,-0.0702891254888801
2025-01-31,NG.L,-0.0048988710435509,-0.005339655,76,46,30,False,False,False,-0.00044078395644909975
