date,n_stocks,mae,rmse,directional_accuracy,spearman,topk_hit_rate,avg_rank_error,mean_pred_return,mean_actual_return
2025-01-31,93,0.050576393265612696,0.06978235884002337,0.40860215053763443,-0.05372862642117514,0.15789473684210525,32.1505376344086,0.0014605888273870966,0.007464663323042287
2025-02-28,93,0.07127349436935004,0.09497004613661175,0.3763440860215054,0.030005072961117246,0.2631578947368421,29.204301075268816,0.005583038900537634,-0.03238265194635765
2025-03-31,92,0.062234270290511436,0.0744162979161504,0.4891304347826087,0.037652389686050274,0.368421052631579,30.304347826086957,0.0074366256686304345,0.023078528417450443
2025-04-30,92,0.06335718404070133,0.08364101246362216,0.6413043478260869,0.2186242929580938,0.368421052631579,26.67391304347826,0.006335543980543479,0.057002001941847465
2025-05-31,93,0.04391572720442487,0.06162895931162956,0.4838709677419355,0.0018501387604070306,0.3157894736842105,30.9247311827957,0.0018211606495698932,0.014928955788553189
2025-06-30,94,0.05822204159809953,0.07260892708725933,0.6170212765957447,0.023285048585774664,0.3684210526315789,30.19148936170213,0.0032169318184042555,0.020733775415302264
2025-07-31,94,0.04467401395221867,0.06114266223635658,0.5106382978723404,0.057298703175233896,0.3684210526315789,31.25531914893617,0.0058362180897872365,-0.0022524096700192752
2025-08-31,94,0.057095921739694744,0.08230956888672314,0.6595744680851063,0.2178015388505581,0.4210526315789474,26.21276595744681,0.006335484658404256,0.029898289942972306
2025-09-30,94,0.055630061085879055,0.0668777978577642,0.6276595744680851,-0.026680634324314563,0.3157894736842105,30.78723404255319,0.006730541139680854,0.030476688641881296
2025-10-31,94,0.06004029992328762,0.08064140053324947,0.5212765957446809,0.09827692085395369,0.3157894736842105,29.25531914893617,0.007223642504361701,-0.009374747657169879
2025-11-30,91,0.03844334029785086,0.05555326128474653,0.5934065934065934,0.02025800286669852,0.2631578947368421,29.78021978021978,0.008497085874263736,0.02241850184311628
