ticker,n_months,mean_pred_return,mean_actual_return,mae,rmse,directional_accuracy,pred_actual_corr,avg_pred_rank,avg_actual_rank,avg_rank_error,topk_hits,pred_topk_count,actual_topk_count
HWDN.L,11,-0.00020546192545454537,0.0035160969376196536,0.03915219278176773,0.05140228894623611,0.8181818181818182,0.56132103560414,67.27272727272727,55.0,14.818181818181818,0,0,1
BBOX.L,11,0.0021129569690909087,0.004252158113739063,0.02364131740490917,0.027602648715747715,0.7272727272727273,0.3385925689387835,57.09090909090909,49.45454545454545,15.090909090909092,0,1,0
FRES.L,11,0.03245912245454546,0.1626358996363609,0.15838816867511474,0.178617553283476,0.8181818181818182,0.2527701139288627,5.7272727272727275,19.363636363636363,15.272727272727273,8,10,8
AAF.L,11,0.019994272754545454,0.08681635420514834,0.07138672326719156,0.08284946318258865,0.8181818181818182,0.528157477832646,18.363636363636363,20.818181818181817,15.363636363636363,7,8,7
ITRK.L,11,0.0018104170227272725,-0.0076816694655644085,0.03834612526539341,0.04882169714510196,0.6363636363636364,0.4830592979298411,61.36363636363637,56.63636363636363,15.818181818181818,0,0,0
ALW.L,11,0.003336125707272727,-0.0025045276460758407,0.029220966177716093,0.03696897750319564,0.6363636363636364,0.10393312119288704,52.72727272727273,55.27272727272727,16.545454545454547,0,1,0
CPG.L,11,0.004498933341818182,-0.013759053031703865,0.036414248782299645,0.04596745790519623,0.36363636363636365,0.6551126192470944,44.54545454545455,61.45454545454545,17.636363636363637,1,1,1
ABF.L,11,0.003529021315454545,0.012285119304756243,0.03976895699881486,0.05214071485337714,0.7272727272727273,0.30736218842561547,56.45454545454545,47.81818181818182,19.181818181818183,1,2,1
SDLF.L,11,0.0022789298781818183,0.03267264311677432,0.04073440020168334,0.04805255912247725,0.9090909090909091,0.578643642669358,55.0,36.27272727272727,20.0,0,0,3
FCIT.L,11,0.0023532192790909085,0.005486617821892217,0.031200849552896568,0.03643876452190096,0.7272727272727273,0.34752150097253837,56.09090909090909,49.27272727272727,20.454545454545453,0,0,0
SMIN.L,11,0.004366693063636364,0.014288491885355943,0.043563822617270126,0.05627369509855415,0.45454545454545453,0.5283134501377909,46.27272727272727,47.18181818181818,20.545454545454547,0,0,1
BTRW.L,11,0.0027656530981818176,-0.013187384105849702,0.055985929618557126,0.0730084745191876,0.5454545454545454,0.22858254418505716,55.18181818181818,58.81818181818182,20.727272727272727,0,2,3
UU.L,11,0.004501626563636364,0.01577434752731733,0.034440888579946184,0.04410019798382776,0.5454545454545454,0.1414127170891427,45.36363636363637,48.27272727272727,20.90909090909091,1,1,2
