n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,RMSE_mean,RMSE_std,DirectionalAccuracy_mean,DirectionalAccuracy_std,SpearmanRankCorr_mean,SpearmanRankCorr_std,TopKHitRate_mean,TopKHitRate_std,CombinedScore_mean,CombinedScore_std,Months_evaluated_mean
300,4,10,20,sqrt,0.08218103903918843,0.01393947082484242,0.516800773192816,0.03381061266030229,0.007323677581128898,0.04142690821668877,0.25912280701754387,0.02035962413692236,0.17944784868214808,0.010901665250185062,18.0
500,4,20,40,sqrt,0.08210569180914726,0.013753729376243636,0.5161158162850427,0.033785199893319504,0.0033411797837929213,0.04159130518284086,0.26035087719298244,0.016739734160698898,0.17876012685867118,0.010164440722031083,18.0
500,4,20,20,sqrt,0.08210569180914726,0.013753729376243638,0.5161158162850427,0.033785199893319504,0.0033411797837929213,0.04159130518284086,0.26035087719298244,0.016739734160698898,0.17876012685867118,0.010164440722031083,18.0
300,4,30,20,sqrt,0.08211389221438954,0.013707833116052871,0.5145986246992393,0.03181521263940014,0.0041807813689807545,0.044181571604697004,0.26029239766081874,0.020760645741735258,0.1786444810205017,0.012329869246955841,18.0
300,4,30,40,sqrt,0.08211389221438954,0.013707833116052868,0.5145986246992393,0.03181521263940014,0.0041807813689807545,0.044181571604697004,0.26029239766081874,0.020760645741735258,0.1786444810205017,0.012329869246955841,18.0
300,4,20,20,sqrt,0.08213008509897035,0.013770783559494017,0.5156574927347022,0.03320829477640975,0.0036156476167990255,0.04306382088743654,0.25976608187134503,0.018188509472103508,0.1785275220863169,0.010195476259256792,18.0
300,4,20,40,sqrt,0.08213008509897035,0.013770783559494017,0.5156574927347022,0.03320829477640975,0.0036156476167990255,0.04306382088743654,0.25976608187134503,0.018188509472103508,0.1785275220863169,0.010195476259256792,18.0
500,4,30,20,sqrt,0.08210271213368839,0.013734897169284369,0.5120474929271555,0.029758036163113205,0.00461817144375423,0.04530692893502808,0.2610233918128655,0.020739013947082493,0.17850168615413492,0.013915225767926157,18.0
500,4,30,40,sqrt,0.08210271213368839,0.013734897169284367,0.5120474929271555,0.029758036163113205,0.00461817144375423,0.04530692893502808,0.2610233918128655,0.020739013947082493,0.17850168615413492,0.013915225767926157,18.0
500,4,10,20,sqrt,0.08217081739392554,0.013940292966771064,0.516257120244528,0.033038615302404636,0.006867843585611151,0.041206949456871915,0.2557309941520468,0.021812404946300584,0.17804006941973965,0.009755444107028305,18.0
300,6,20,20,sqrt,0.08249633120713487,0.013982630710925203,0.509543121599805,0.02500356047930236,0.0010316895925175315,0.04284557430610378,0.2613742690058479,0.025896885162631094,0.17714827462871016,0.014769535149720705,18.0
300,6,20,40,sqrt,0.08249633120713487,0.013982630710925203,0.509543121599805,0.02500356047930236,0.0010316895925175315,0.04284557430610378,0.2613742690058479,0.025896885162631094,0.17714827462871016,0.014769535149720705,18.0
300,4,10,40,sqrt,0.08222468631326631,0.01397381931267866,0.5167088025205686,0.03282507304183173,0.003691404902262294,0.04231019635529223,0.2551754385964912,0.020530553452038847,0.17713107797579797,0.011494380557022116,18.0
500,6,30,40,sqrt,0.08240457987386825,0.013920765034692223,0.5081865530225854,0.022235153403256675,0.0019197112293975484,0.045274652932109,0.2613450292397661,0.02657314059794194,0.17710708267101097,0.016280103464489503,18.0
500,6,30,20,sqrt,0.08240457987386825,0.013920765034692223,0.5081865530225854,0.022235153403256675,0.0019197112293975484,0.045274652932109,0.2613450292397661,0.02657314059794194,0.17710708267101097,0.016280103464489503,18.0
500,4,10,40,sqrt,0.0821947890353891,0.01394222427523546,0.5162521543223422,0.03341923078299308,0.005656813983662941,0.04200660458279585,0.25342105263157894,0.022408899658379486,0.17692304497435898,0.010699478747951166,18.0
500,6,20,40,sqrt,0.08247709773745324,0.01397386082607148,0.509338036067987,0.023486356785560644,0.0010370254558419775,0.042705020770567814,0.26078947368421057,0.02268542335245572,0.17690775981954093,0.013577103018095447,18.0
500,6,20,20,sqrt,0.08247709773745324,0.01397386082607148,0.509338036067987,0.023486356785560644,0.0010370254558419775,0.042705020770567814,0.26078947368421057,0.02268542335245572,0.17690775981954093,0.013577103018095447,18.0
500,6,10,40,sqrt,0.08251557132274304,0.014131965003809146,0.5073667850935681,0.025639728564851513,-0.0009352114626188124,0.040609289200013464,0.2629239766081871,0.029314342031616935,0.1767598317013758,0.01619947145498701,18.0
300,6,10,40,sqrt,0.08251231932701253,0.01414323257810262,0.5083869077460695,0.02602997381471807,0.00044310489309774825,0.04315831234722833,0.2613450292397661,0.022316666036458006,0.17675645414100397,0.014929532899531719,18.0
300,6,30,20,sqrt,0.08240278039836343,0.013888902989923608,0.5091137604947146,0.023536771728003794,0.0012496898401005128,0.04449645016699546,0.2584795321637427,0.02482088463531359,0.1761224547366053,0.01563311480725197,18.0
300,6,30,40,sqrt,0.08240278039836343,0.013888902989923606,0.5091137604947146,0.023536771728003794,0.0012496898401005128,0.04449645016699546,0.2584795321637427,0.02482088463531359,0.1761224547366053,0.01563311480725197,18.0
300,4,20,40,0.5,0.08259861600933618,0.014179518555970081,0.5117967993573496,0.025964376959107957,0.0007755280175557163,0.047913757620635135,0.25669590643274853,0.02892454354431454,0.1758770859254536,0.015114457224504683,18.0
300,4,20,20,0.5,0.08259861600933618,0.014179518555970081,0.5117967993573496,0.025964376959107957,0.0007755280175557163,0.047913757620635135,0.25669590643274853,0.02892454354431454,0.1758770859254536,0.015114457224504683,18.0
500,4,30,20,0.5,0.08261230018634466,0.014181216054081966,0.5081192018149312,0.023372220702766823,-0.0011835287352601656,0.04756058248852366,0.2585087719298246,0.02566141409694875,0.17528356831734088,0.01500019721414289,18.0
500,4,30,40,0.5,0.08261230018634466,0.014181216054081966,0.5081192018149312,0.023372220702766823,-0.0011835287352601656,0.04756058248852366,0.2585087719298246,0.02566141409694875,0.17528356831734088,0.01500019721414289,18.0
500,4,20,40,0.5,0.0825979232507322,0.014180086195047972,0.5099209371552311,0.026662064377999502,0.0002496631843233881,0.04660170138757115,0.2544444444444444,0.029618634623823945,0.1745825741325362,0.016272531120823473,18.0
500,4,20,20,0.5,0.0825979232507322,0.014180086195047972,0.5099209371552311,0.026662064377999502,0.0002496631843233881,0.04660170138757115,0.2544444444444444,0.029618634623823945,0.1745825741325362,0.016272531120823473,18.0
300,4,30,40,0.5,0.08260341925006366,0.014159777349045237,0.5085814497293776,0.023288784091725617,-0.002003072797324332,0.047203620892457165,0.25666666666666665,0.032457885470179804,0.17452817122986503,0.016824083243999925,18.0
300,4,30,20,0.5,0.08260341925006366,0.014159777349045237,0.5085814497293776,0.023288784091725617,-0.002003072797324332,0.047203620892457165,0.25666666666666665,0.032457885470179804,0.17452817122986503,0.016824083243999925,18.0
300,4,10,40,0.5,0.08265509380454286,0.014350944791241748,0.5096710981798426,0.02687302673671786,-0.0003898640402081606,0.047372288361132484,0.25450292397660823,0.022529661945640378,0.17438175825682073,0.014908876437864501,18.0
300,6,20,20,0.5,0.08290688273993038,0.014284571830224115,0.505909127160967,0.02067882162310169,-0.0006293983489327595,0.04619836148399793,0.2565497076023392,0.034112670563074356,0.17423549695779286,0.017018498868593742,18.0
300,6,20,40,0.5,0.08290688273993037,0.014284571830224111,0.505909127160967,0.02067882162310169,-0.0006293983489327595,0.04619836148399793,0.2565497076023392,0.034112670563074356,0.17423549695779286,0.017018498868593742,18.0
300,8,10,40,sqrt,0.08279233467675044,0.014228053788453574,0.5032690111941054,0.022792397883829193,7.313482796947393e-05,0.04134784669531707,0.25722222222222224,0.026889379181496954,0.17414139678824114,0.01750613111573026,18.0
300,6,10,20,sqrt,0.08258382814636342,0.014170427589338527,0.5090869949056444,0.026220169911424614,-0.002237824950512039,0.03908948722975264,0.2550877192982456,0.025353043945796058,0.17402187886861414,0.014678043417329091,18.0
500,4,10,20,0.5,0.08273198041982813,0.014413359484549457,0.5093185631443765,0.02737931079220641,-0.003305932957404984,0.04662322190405724,0.25514619883040934,0.01938730998306189,0.17379200289620172,0.014397092357615476,18.0
300,8,30,40,sqrt,0.08257559467297253,0.013977976095216126,0.5012807237329352,0.01938101396490966,-0.002115697793089771,0.047610167331114506,0.2584795321637427,0.02749529340947401,0.17367993762103007,0.018667045683746747,18.0
300,8,30,20,sqrt,0.08257559467297253,0.013977976095216126,0.5012807237329352,0.01938101396490966,-0.002115697793089771,0.047610167331114506,0.2584795321637427,0.02749529340947401,0.17367993762103007,0.018667045683746747,18.0
500,8,10,40,sqrt,0.08278508009638655,0.014229760185554958,0.5028298557281967,0.02225377759434077,-0.0003896594498217332,0.04295389972309364,0.256140350877193,0.024350994109633924,0.17356066307092416,0.016222861205642147,18.0
500,4,10,40,0.5,0.08266947340925583,0.014356942246987787,0.5107264367144756,0.027121646222704476,-0.001558547702605901,0.04534752101783565,0.2522514619883041,0.022149146932223963,0.17350976743129892,0.014420449920081018,18.0
300,8,10,20,sqrt,0.0828888693673349,0.014297537551080175,0.5033248403667825,0.02140478935462387,-0.003076642126519288,0.04525604280137037,0.2571345029239766,0.031613684327573194,0.17331510969165148,0.01759915717417354,18.0
500,6,10,20,sqrt,0.08258948274443088,0.014187432417650367,0.5090768153457573,0.02648809144856249,-0.0026004070768463425,0.041216310146117596,0.25274853801169594,0.028040348736760815,0.17310935305514727,0.01585158165448411,18.0
300,4,10,20,0.5,0.08272728282550476,0.014390433351781617,0.5092020679897431,0.027115606907111785,-0.004780793199336232,0.04821213920466415,0.2540643274853801,0.01894203186344851,0.17302227335289663,0.014072111909755049,18.0
300,8,20,20,sqrt,0.08268928476296034,0.0140429818583551,0.5031412111766882,0.016492247637037553,-0.001573594019235024,0.04575552175529589,0.25435672514619884,0.030810237191164172,0.17272184057910642,0.01830532451037021,18.0
300,8,20,40,sqrt,0.08268928476296034,0.0140429818583551,0.5031412111766882,0.016492247637037553,-0.001573594019235024,0.04575552175529589,0.25435672514619884,0.030810237191164172,0.17272184057910642,0.01830532451037021,18.0
500,8,20,20,sqrt,0.08267430962719853,0.014033579717393305,0.5006012747486428,0.016494323559228995,-0.0031644463910699243,0.04625938862555713,0.25681286549707605,0.024358146725993707,0.17267878435049797,0.01688820363807688,18.0
500,8,20,40,sqrt,0.08267430962719853,0.014033579717393309,0.5006012747486428,0.016494323559228995,-0.0031644463910699243,0.04625938862555713,0.25681286549707605,0.024358146725993707,0.17267878435049797,0.01688820363807688,18.0
500,6,20,20,0.5,0.08294252270145454,0.014309862410629917,0.5026733084527543,0.019129593394623636,-0.0030258835452439767,0.0464398084309964,0.2541812865497076,0.03753134982233303,0.17215313655634662,0.019353182331291796,18.0
