,0
2015-01-31,1.0
2015-02-28,1.0
2015-03-31,1.0
2015-04-30,1.0
2015-05-31,1.0
2015-06-30,1.0
2015-07-31,1.0
2015-08-31,1.0
2015-09-30,1.0
2015-10-31,1.0
2015-11-30,1.0
2015-12-31,1.0
2016-01-31,1.0
2016-02-29,1.0929426925165568
2016-03-31,1.1418340533037543
2016-04-30,1.1780303679290387
2016-05-31,1.145016307181915
2016-06-30,1.212750162156199
2016-07-31,1.2752724984567483
2016-08-31,1.315802548393436
2016-09-30,1.3700120335713404
2016-10-31,1.4024981631008042
2016-11-30,1.399921181589999
2016-12-31,1.4640527629779834
2017-01-31,1.4928651707540068
2017-02-28,1.5576748661081885
2017-03-31,1.5880618064269376
2017-04-30,1.63869374547258
2017-05-31,1.6905344798411988
2017-06-30,1.618736684747014
2017-07-31,1.646022756265368
2017-08-31,1.6558253767953326
2017-09-30,1.6216877046542337
2017-10-31,1.6731297437882924
2017-11-30,1.655404850992473
2017-12-31,1.7179377608152526
2018-01-31,1.7105126585053867
2018-02-28,1.6709983578863323
2018-03-31,1.68088550382411
2018-04-30,1.7541562667507589
2018-05-31,1.8150669249044746
2018-06-30,1.8496217397648183
2018-07-31,1.8912927949292035
2018-08-31,1.887206081907233
2018-09-30,1.8663836350229839
2018-10-31,1.7652061254836604
2018-11-30,1.741570241540616
2018-12-31,1.678882595192142
2019-01-31,1.7836110209075742
2019-02-28,1.8217242641958276
2019-03-31,1.8637483965496267
2019-04-30,1.9378349104282
2019-05-31,1.7728871337553778
2019-06-30,1.8704200923822667
2019-07-31,1.8507968307925646
2019-08-31,1.8139578700379417
2019-09-30,1.8852605714160309
2019-10-31,1.9032207442176097
2019-11-30,1.954212130081153
2019-12-31,2.0335200919347667
2020-01-31,1.9416076016348471
2020-02-29,1.767512176688233
2020-03-31,1.3503797682895153
2020-04-30,1.442382778058101
2020-05-31,1.4698858264876287
2020-06-30,1.625133178685072
2020-07-31,1.5839268223653276
2020-08-31,1.6703744782958498
2020-09-30,1.5593004405315627
2020-10-31,1.5304912191519755
2020-11-30,2.021535304478306
2020-12-31,2.0812104593635135
2021-01-31,1.9867659827375541
2021-02-28,2.211853379536446
2021-03-31,2.293905833639513
2021-04-30,2.3887293261659557
2021-05-31,2.3631886162288405
2021-06-30,2.328288633043886
2021-07-31,2.374145612238494
2021-08-31,2.431682787463709
2021-09-30,2.3446511281212232
2021-10-31,2.430869163963702
2021-11-30,2.484712307297761
2021-12-31,2.569240759980295
2022-01-31,2.5402082328551994
2022-02-28,2.510151842826118
2022-03-31,2.4495839229614655
2022-04-30,2.429965754757361
2022-05-31,2.4922256326464827
2022-06-30,2.286554337993261
2022-07-31,2.4096155219445565
2022-08-31,2.2842154327446678
2022-09-30,2.113220440479011
2022-10-31,2.2201984521598526
2022-11-30,2.4668767503531175
2022-12-31,2.46488866631509
2023-01-31,2.7569686927809154
2023-02-28,2.764096109904078
2023-03-31,2.655557312221381
2023-04-30,2.731874690200816
2023-05-31,2.5818762295399105
2023-06-30,2.515745285099202
2023-07-31,2.658926321800627
2023-08-31,2.6145453799911476
2023-09-30,2.6286852665495357
2023-10-31,2.4678521010195746
2023-11-30,2.5205013507347243
2023-12-31,2.633357862008953
2024-01-31,2.5716332351420044
2024-02-29,2.5540853443355775
2024-03-31,2.7447940858018134
2024-04-30,2.7549066575626573
2024-05-31,2.794093732027442
2024-06-30,2.774264988927771
2024-07-31,2.865478811995968
2024-08-31,2.8427583204303897
2024-09-30,2.8831632215980285
2024-10-31,2.9427040441075687
2024-11-30,3.069438261529629
2024-12-31,3.071397984590146
