date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true
2025-01-31,AAF.L,0,0,0,0,0.0053881067,-0.0124651799912378
2025-01-31,AAL.L,1,0,0,0,0.0069350963,-0.0186935404195907
2025-01-31,ABF.L,1,0,0,0,0.014361755,-0.0036804051424496
2025-01-31,ADM.L,0,1,0,0,-0.00013579708,0.0636329397124568
2025-01-31,ALW.L,0,0,0,1,0.004595371,-0.0482882715716924
2025-01-31,ANTO.L,0,0,0,0,0.004595371,0.0049274920162114
2025-01-31,AUTO.L,0,0,0,0,0.0061748815,-0.0187247402098406
2025-01-31,AV.L,0,1,0,0,0.0039044272,0.0591440228971908
2025-01-31,AZN.L,0,0,0,0,-0.0028648456,0.0551584913306604
2025-01-31,BA.L,0,1,0,0,-0.0034077242,0.149101385343066
2025-01-31,BAB.L,0,1,1,0,-0.009244132,0.2462825017313377
2025-01-31,BARC.L,1,0,0,0,0.009519128,0.0483347643605462
2025-01-31,BATS.L,0,0,0,0,0.004595371,-0.0344072465237941
2025-01-31,BBOX.L,0,0,1,0,-0.008025351,0.0082133680149478
2025-01-31,BEZ.L,0,0,0,0,0.004595371,0.0459427690674982
2025-01-31,BKG.L,0,0,0,1,-0.0009489395,-0.0726429712365618
2025-01-31,BLND.L,0,0,0,0,-0.002115266,-0.0445388351086427
2025-01-31,BNZL.L,0,0,0,0,0.003654845,-0.0232018360996086
2025-01-31,BP.L,0,0,0,0,0.004595371,0.0200176945606569
2025-01-31,BRBY.L,1,0,0,1,0.033615172,-0.0889261744966442
2025-01-31,BT-A.L,0,1,0,0,0.0060467487,0.1261452483917475
2025-01-31,BTRW.L,0,0,1,1,-0.034600303,-0.0632272200945106
2025-01-31,CCEP.L,0,1,1,0,-0.011491401,0.0656249551639942
2025-01-31,CCH.L,0,1,0,0,0.004595371,0.1957295840666708
2025-01-31,CNA.L,0,0,0,0,-0.0007008342,0.0491227449953211
2025-01-31,CPG.L,0,0,0,0,0.004595371,-0.0064492763833499
2025-01-31,CTEC.L,0,0,1,0,-0.020797824,0.0502022369976598
2025-01-31,DCC.L,0,0,1,0,-0.034530565,-0.0428570095183812
2025-01-31,DPLM.L,0,0,0,0,0.0046491823,-0.0123022371975695
2025-01-31,EDV.L,0,0,0,1,0.004595371,-0.0602556075446988
2025-01-31,ENT.L,1,1,0,0,0.018011903,0.0563100290816838
2025-01-31,EXPN.L,0,0,0,1,0.004595371,-0.0606438670020034
