date,n_stocks,n_top,n_bottom,top_avg_realized_return,all_avg_realized_return,bottom_avg_realized_return,top_minus_all,all_minus_bottom,top_minus_bottom,top_gt_all,bottom_lt_all,top_gt_bottom
2025-01-31,93,18,18,0.015884156735254805,0.007464659223213297,0.013465066801345802,0.008419497512041508,-0.006000407578132505,0.0024190899339090032,1.0,0.0,1.0
2025-02-28,93,18,18,-0.04564338196440549,-0.03238264198687845,-0.02362381394603161,-0.013260739977527039,-0.00875882804084684,-0.02201956801837388,0.0,0.0,0.0
2025-03-31,92,18,18,0.022756362101643533,0.023078523358766197,0.013329406787218867,-0.0003221612571226648,0.00974911657154733,0.009426955314424666,0.0,1.0,1.0
2025-04-30,92,18,18,0.11096639374601909,0.05700199991802513,0.052447644501558685,0.05396439382799396,0.004554355416466448,0.058518749244460405,1.0,1.0,1.0
2025-05-31,93,18,18,0.04582667169436077,0.014996840700512023,-0.005982062603937211,0.03082983099384875,0.020978903304449233,0.05180873429829798,1.0,1.0,1.0
2025-06-30,94,18,18,0.0069507009354998605,0.02073377715606135,0.026771985910352243,-0.01378307622056149,-0.006038208754290893,-0.01982128497485238,0.0,0.0,0.0
2025-07-31,94,18,18,0.02371039388187435,-0.002252414971261099,-0.009050700332408651,0.025962808853135448,0.006798285361147552,0.032761094214283,1.0,1.0,1.0
2025-08-31,94,18,18,0.08332460412030035,0.02989829045210979,0.020119566680045213,0.05342631366819056,0.009778723772064579,0.06320503744025513,1.0,1.0,1.0
2025-09-30,94,18,18,0.009801003169908744,0.03047668761445391,0.05610462114132633,-0.020675684444545164,-0.025627933526872423,-0.04630361797141759,0.0,0.0,0.0
2025-10-31,94,18,18,-0.004742560264802696,-0.00937474993225016,-0.007083821947572549,0.004632189667447465,-0.002290927984677612,0.0023412616827698527,1.0,0.0,1.0
2025-11-30,91,18,18,0.054865701165046715,0.022418505095901535,0.009852718199193202,0.03244719606914518,0.012565786896708333,0.045012982965853515,1.0,1.0,1.0
